lang,story,author,translator,words count
איטלקית,הזהו אדם.json,פרימו לוי,יצחק גרטי,5096
איטלקית,הרכבות הנוסעות למדראס.json,אנטוניו טאבוקי,אלון אלטרס,2703
איטלקית,אתה צוחק.json,לואיג'י פירנדלו,אורה אייל,1649
איטלקית,הבחורה נוסעת לקלבריה.json,ג׳וזפה ברטו,יונתן פיין,5890
איטלקית,אבירוּת כפרית.json,ג'ובאני כרמלו ורגה,יונתן פיין,1507
איטלקית,"דקאמרון: יום רביעי, סיפור תשיעי.json",ג'ובאני בוקאצ'ו,גאיו שילוני,936
איטלקית,רוסו מַלפֶּלו.json,ג'ובאני כרמלו ורגה,יונתן פיין,4338
איטלקית,"איטליה, ענן.json",מרקו לודולי,ארנו בר,589
איטלקית,"דקאמרון: יום חמישי, סיפור תשיעי.json",ג'ובאני בוקאצ'ו,גאיו שילוני,1797
איטלקית,"פאדרה פדרונה אבי, אדוני.json",גווינו לדה,מירון רפופורט,3853
איטלקית,הגוף האנושי.json,פאולו ג'ורדנו,יערית בן-יעקב,3556
אנגלית,אלוהים וסקס.json,מייקל קוגן,יעל סלע-שפירו,1187
אנגלית,התריסר.json,ג'סטין קרונין,אינגה מיכאלי,2399
אנגלית,המדריך הקצר לחיים ארוכים.json,דר דייוויד אגוס,גיא הרלינג,1873
אנגלית,לוויתן.json,פול אוסטר,משה רון,5097
אנגלית,ילדה עם שיער מוזר 1.json,דיוויד פוסטר וואלאס,אלינוער ברגר ואסף גברון,740
אנגלית,בשערי ממלכת החיות.json,איימי המפל,שלומציון קינן,1831
אנגלית,נער החידות ממומביי.json,ויקאס סווארופ,סיגל אדלר,3858
אנגלית,מיומנו של שרלוק הולמס.json,מוריס ברינג,דרור משעני,976
אנגלית,אנרכיסט.json,ג'וזף קונרד,ניצה פלד,5967
אנגלית,"אני, נלסון מנדלה.json",נלסון מנדלה,קובי מידן,751
אנגלית,יומני קרי.json,קנדיס בושנל,גיא הרלינג,1553
אנגלית,בית הממתקים.json,קארין גרהרדסן,יעל צובארי,2587
אנגלית,כיסא הקשירה.json,קתרין הריסון,אלינוער ברגר,4364
אנגלית,היקום של הדברים.json,גוונית' ג'ונס,אביתר אורן,3267
אנגלית,קרב אותי.json,ג' קנר,מיכל רביד,3271
אנגלית,בעקבות שרלמאן.json,סטיב ברי פרולוג,אורי בלסם,1122
אנגלית,חברות ששינו את העולם.json,ג'ונתן מנטל,עמית יריב,1708
אנגלית,מבעד למנהרה.json,דוריס לסינג,ליה נירגד,2913
אנגלית,ילדותו של ישו.json,ג'. מ. קוטזי,אברהם יבין,2132
אנגלית,ארץ הצללים.json,אליסון נואל,נילי לוי,3047
אנגלית,המוח הגברי.json,דר לואן בריזנדיין,יעל סלע-שפירו,1850
אנגלית,המאזין הלילי.json,ארמיסטד מופין,empty,4501
אנגלית,זיכרונותיו של חבר דמיוני.json,מתיו דיקס,דנה אלעזר הלוי,3151
אנגלית,אמסטרדם.json, איאן מקיואן,empty,4667
אנגלית,שחרר אותי.json,ג' קנר,מיכל רביד,2608
אנגלית,חוות החיות.json,ג'ורג' אורוול,לאה זגגי,4282
אנגלית,בעל ואשה.json,רוברט לואי סטיבנסון,אברהם יבין,1923
אנגלית,מאיפה יוצא הפיפי שלך.json,אמילי ברוט,תהל פרוש,1105
אנגלית,היסטוריה של המדע לצעירים מכל הגילים.json,ויליאם ביינום,יפתח בריל,1513
אנגלית,מדריך לעוזרות בית.json,לוסיה ברלין,מאיה פלדמן,3456
אנגלית,כופר נפשו של הצ'יף האדום.json,או. הנרי,אהרן אמיר,2947
אנגלית,הקרקס הנסתר.json,ג'ניפר איגן,ברוריה בן ברוך,2848
