lang,stories count,words count,translators names,translators count,authors names,authors count
איטלקית,11,31914,"גאיו שילוני
יערית בן-יעקב
יונתן פיין
אורה אייל
ארנו בר
מירון רפופורט
יצחק גרטי
אלון אלטרס",8,"ג'ובאני כרמלו ורגה
מרקו לודולי
ג׳וזפה ברטו
פאולו ג'ורדנו
פרימו לוי
לואיג'י פירנדלו
ג'ובאני בוקאצ'ו
אנטוניו טאבוקי
גווינו לדה",9
אנגלית,287,871056,"סמדר מילוא
שלומציון קינן
אילנה ברנשטיין
רנה ורבין
יעל אכמון
שרון גל
ליה נרגד
תלמה אליגון-רוז
מאירה פירון
עודד וולקשטיין
דורון גרינשפן
תומר שפינדל
שלומית אפל
אביתר אורן
מיכל רביד
רעות בן-יעקב
עפרה אביגד
יותם ראובני ומאיה פלדמן
יוני רז פורטוגלי
עידית שורר
ענת דוידי
יניץ לוי
אורי בלסם
יותם ראובני
מרב זקס-פורטל
עדי צור, יונתן בר, רימונה גרסון
נח אבידור
מאיר ויזלטיר
דפנה בן יוסף
ענבל שגיב נקדימון
טל ניצן
יואב איתמר
ברוריה בן ברוך
צבי ארד
יניב חג'בי
אורית הראל
אורלי מזור יובל
 קטיה בנוביץ'
דפנה רוזנבליט
משה רון
שרונה גורי
זהר אלמקייס
תהל פרוש
צבי אדר
עתליה זילבר
נילי לוי
גרשון גירון
משה רום
אוריאל אופק
יואב כ""ץ
קטיה בנוביץ'
עמית יריב
סיגל אדלר
מאיה פלדמן
ליאור שטרנברג
דבי אילון
רחל אהרוני
ליה נירגד
אור אלכסנדרוביץ'
קובי מידן
יעל ענבר
אסתי וכטל
לאה פרייליך
לאה זגגי
אלינוער ברגר ואסף גברון
אסנת הדר
יוסיפיה סימון
מוטי הינוך
עמיהוד ארבל
יעל סלע-שפירו
שמעון אדף
דוד מדר
דנה אלעזר-הלוי
מיכל כהן
ברוריה בן-ברוך
רחל פן
עופר שור
יהונתן דיין
אהרן אמיר
יונתן פיין
אורית בן זאב
מרית בן ישראל
רעיה ג'קסון
אינגה מיכאלי
אריאלה אזולאי ועדי אופיר
כנרת היגינס-דוידי
דפנה לוי
יואב כ״ץ
יפתח בריל
טל ארצי
ליאורה כרמלי
מיכל אלפון
שרון פרמינגר
מיכל בכר
יבודה בן-מוחה
עפר קובר
אודי תגרי
יהודית אביטל
אמיר צוקרמן
ארז שוייצר
יערית טאובר בן-יעקב
לאה ששקו
אברהם יבין
אלון מרקוס
אמנון כץ
יניב פרקש
זיו יצחקי
מתן קמינר
אלינוער ברגר
דרורה בלישה
משה מרון
אסף גברון
צילה אלעזר
דנה אלעזר הלוי
שמעון בוזגלו
יונתן רז פורטוגלי
שירלי אגוזי
יוסי מילוא
עופר קובר
יעל צובארי
יונתן דה שליט
ניצה פלד
ניב סבריאגו
עוםר קובר
רז קטלן
ארי ליברמן
גיא הרלינג
שיר חבר
עמנואל לוטם
שרה ריפין
מיכל אלפרון
עודד פלד
דרור משעני
תמי אילון-אורטל",134,"קתרין הריסון
אלדד גיל
ג'יימס אלרוי
פיטר קוריס
ג'יימס ג'ויס
וולטר מישל
סנדהיל מולנייתן ואלדר שפיר
סטיב ברי פרולוג
ג' קנר
קייט שופן
קולום מק`קאן
אריק סיבלין
ג'ונתן מנטל
איאן מקיואן
ג'סטין קרונין
ארנסט המינגוויי
מרי דה מורגן
חאלד חוסייני
תיאודורה ארמסטרונג
אדם מארק
דר טל בן-שחר
דייוויד בלוס
ג'יין בורודייל
ג'ונתן סוויפט
ג'יימס מקברייד
אליזבת מקראקן
רייצ'ל ב. גלזר
ג'ונתן פראנזן
אנה מקפרטלין
אמילי ברוט
גראהם בראון
עאטף אבו סיף
סת' גודין
מרקוס רדיקר
לידיה דיוויס
סילביה דיי
מארי קונדו
מורין פ. מקיו
רנסום ריגס
ג'וזף קונרד
קמילה גרודובה
אלן פירסט
ג'. מ. קוטז
טרי הייז
סאקי
דניאל מייסון
שריל סנדברג
מתיו דן
דייוויד פוסטר וואלאס
טוביאס וולף
ג'יימס א' לווין
אשלי ואנס
מנג'ו קפור
 איאן מקיואן
ג'מייקה קינקייד
גרהם גרין
רמונה אוסובל
ורוניקה רות
בריאן ליאונג
דיוויד קואמן
קריסטין קאשור
ריצ'רד בראוטיגן
 סיימון מאואר
ג'. מ. קוטזי
אווה הופמן
ת""א לורנס
ג'יימס דשנר
ל. פרנק באום
ג'ארד דיימונד
קארין גרהרדסן
לורנה א. היקוק
דר מייקל באדן ולינדה קני באדן
בנג'מין אלירה סאיינז
הרמן מלוויל
נל הרפר לי
ג'יין רוג'רס
ויליאם גולדינג
מ' ק' גנדהי
ג'ובראן חליל ג'ובראן
פיטר ברנשטיין
פרופ תלמה ליבל
ג'ונתן לתם
דייוויד קסלר
דר וויל טאטל
ליאו בבאוטה
ס.ג'. ווטסון
פירז סטיל
בטי הרברט
אדמת אנוש
דר דייוויד אגוס
ארמיסטד מופין
ארווינד אדיגה
גראהם גרין
ריי ברדבורי
חנה ארנדט
מרים סיון
מייקל קוגן
שרווד אנדרסון
הילרי מנטל
לורי מור
ג'ואל צ'נדלר הריס
איימי המפל
אדולפו ביוי קסארס
רות ל. אוזקי
ריאן נורת, מתיו בנארדו ודייוויד מלכי
אדגר אלן פו
ורוניקה רוֹת
ג'יימס בולדווין
אליף שאפיק
דונלד טראמפ ורוברט קיוסאקי
פטרישיה מק'קורמיק
דוריס לסינג
דיוויד מינס
מרגרט ג'ורג'
מישה גלני
סטפני מאייר
יו לורי
רודיארד קיפלינג
צבי יגנדורף
מהשוטה דוי
ג'סי גרינגראס
יאן פיליפ סנדקר
ד""ה לורנס
דניס ג'ונסון
ג'ייסון פריד ודייוויד ה' הנסון
 מייקל שייבון
לורנס ס' סמית
ג'יימס סולטר
נתן אנגלנדר
ג'ון הרסי
מייקל שייבון
או. הנרי
מלאני ג'וי
ארנסט המינגווי
וולטר אייזקסון
רוברט לואי סטיבנסון
אביגדור דגן
פ' סקוט פיצג'רלד
בן מקנטייר
ג'וזף הלר
דב סיידמן
מיכאל בראונגרט וויליאם מק'דונו
דניאל סילבה
אניטה דיאמנט
גוונית' ג'ונס
בריאן גרין
ג'יימס אוסוולד
אמברוז בירס
אלדוס האקסלי
ו""ו ג'ייקובס
דר טח בן שחר
לורי סגל
בריס די-ג'יי פנקייק
כריס אנדרסון
כריסטופר רייך
טוני פרסונס
וירג'יניה וולף
אדוארדו פורטר
בנג'מין בלאק
מירנדה ג׳ולי
קנדיס בושנל
ל. ג`. סמית
הנרי ג'יימס
ג'ון גריי
קיונג סוק שין
ג'יימס הוז
עבאס קזורני
סירי הוסטוט
לנדי בנקרופט
ג'רום גרופמן ופמלה הארטצבנד
ג'וזפין אנג'ליני
אוסקר וויילד
מאלה נאן
מארק טוויין
ג'ון גאפר
שרון ל' לכטר וגרג ס' ריד
גיליאן פלין
ג`יליאן פלין
ויקאס סווארופ
בראד סטון
אנאיס נין
וו' צ'אן קים, רנה מובורן
סיימון ריץ'
איאנה מאתיס
סי־ג'יי בוקס
מוריס ברינג
ג'ומפה להירי
מייק דש
אגתה כריסטי
דיוויד פוסטר וואלאס
לאזלו בוק
שרלוט פרקינס גילמן
פיל ג'קסון יחד עם יו דלהנטי
קלייר מקינטוש
צ'אק קינדר
לינדה ריצ'רדסון
טילי אולסן
אליף בָּאטוּמָן
קלייר וֵיי ווטקינס
דר לואן בריזנדיין
דר אבן אלכסנדר
רוג'ר פישר, ויליאם יורי וברוס פאטון
צ'רלס פרייזר
ג'ון ריי
בקי אלברטלי
אנתוני מארה
סטיב ברי
נלסון מנדלה
כריסטופר לויד
מ. ק. גנדהי
נורה אפרון
לורה ג'ין מקיי
רבינדראנת טאגור
סטיבן לאו
לוסיה ברלין
ארי ליברמן
ג'קי קיי
פיל קליי
נתניאל הותורן
ג'ורג' אורוול
מתיו דיקס
ג'ניפר איגן
שירזאד צ'אמין
נד באומן
ברברה שטראוך
לביא תדהר
חריסטוס ציולקס
פול אוסטר
לוקה קאיולי
שילה הטי
דניאל גולמן
אליסון נואל
אנג'לה קרטר
ויליאם ביינום
שרלוט רידל",235
גרמנית,34,86182,"יונתן ניראד
שירי שפירא
עדה ברודסקי ויעקב גוטשלק
מיכאל דק
אמיר אנגל
דפנה עמית
ליה נירגד
רן הכהן
נילי מירסקי
גדי גולדברג
אלעד לפידות
רות בונדי
אברהם כרמל
נועה קול
ארז וולק
אילנה המרמן
עופרה קק",17,"ריטה פאלק
פיליפ שנטלר
ארנו שמידט
תומאס מאן
קריסטינה שילקה
מיכאל לנץ
ברברה הוניגמן
ריינר מריה רילקה
פוֹלקֶר צסטְרוֹפ
יאן סנלה
מקסים בילר
פרנץ קפקא
אנט גרשנר
ארתור שניצלר
אנה פריצקאו
רוברט מנאסה
קלמנס מאייר
קתרין רֶגלָה
סשה סטנישיץ'
מתיאס ברנדט
מרטין קלוגר
ריכרד דוויד פרכט
אנדריאס שטיכמן
רוברט מוסיל
ראלף רותמן
רוברט ואלזר
אווה מֶנָסֶה
הוגו פון הופמנסטל
מרגריטה איוב
אריקה פישר
מקס בילר
קארן קוהלר",32
דנית,1,824,דנה כספי,1,דורתה נורס,1
הולנדית,4,5485,רחל ליברמן,1,"ארנון גרונברג
בריטה בוהלר
חרברנד באקר
הנק פרופר",4
הונגרית,5,12362,"דוד טרבאי
מרים אלגזי",2,"אילקה פָפ-זקור
לסלו דארבשי
אישטוון אֶרקֶן
אימרה קרטס
ג'ורג' שפירו",5
טורקית,1,4079,גליה וורגן וג'ני וורגן-אחימס,1,אייפר טונץ',1
יוונית,3,11598,"רמי סערי
אמיר צוקרמן",2,"קוֹסְטַס קָצוּלאריס
קונסטנדינוס קוואפיס
רֵאָה גָלָנָאקִי",3
יידיש,4,12754,"שחר פינסקר
צבי ארד
דן מירון",3,"יצחק בשביס זינגר
יוסל בירשטיין
אליעזר בלום",3
יפנית,2,3117,"אירית ויינברג
ציפי עברי",2,אקוטגאווה ריונוסוקה,1
