lang,corpora name,stories number,lines number,chunks number
איטלקית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\איטלקית.txt,14,5917,43
אירית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\אירית.txt,1,693,4
אנגלית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\אנגלית.txt,303,168463,1089
גרמנית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\גרמנית.txt,46,19001,128
דנית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\דנית.txt,2,249,2
הולנדית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\הולנדית.txt,4,1285,7
הונגרית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\הונגרית.txt,5,2369,15
טורקית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\טורקית.txt,1,695,5
יוונית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\יוונית.txt,3,2255,14
יידיש,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\יידיש.txt,4,2897,16
יפנית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\יפנית.txt,3,1181,9
מלטזית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\מלטזית.txt,1,169,2
נורווגית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\נורווגית.txt,3,2093,10
סינית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\סינית.txt,4,979,9
סלובנית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\סלובנית.txt,1,99,1
ספרדית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\ספרדית.txt,86,30451,210
סרבו-קרואטית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\סרבו-קרואטית.txt,2,175,3
סרבית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\סרבית.txt,1,237,2
עברית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\עברית.txt,277,197831,1317
ערבית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\ערבית.txt,4,1977,11
פולנית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\פולנית.txt,5,2973,18
פורטוגזית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\פורטוגזית.txt,6,1937,15
פינית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\פינית.txt,2,1289,7
פרסית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\פרסית.txt,2,701,5
צ'כית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\צ'כית.txt,5,2159,13
צרפתית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\צרפתית.txt,24,13969,87
קטלאנית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\קטלאנית.txt,2,835,6
קרואטית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\קרואטית.txt,1,259,2
רומנית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\רומנית.txt,3,1415,9
רוסית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\רוסית.txt,29,15867,91
שוודית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\Corpora Language\שוודית.txt,2,1761,10
